,f,Yre,Yim,Zre,Zim
0,6250.0,9.285380941551537e-05,-2.532700800275341e-06,10761.61083000778,293.53604911828376
1,3125.0,7.900755557676767e-05,1.6911901400025627e-06,12651.220638548028,-270.8047280632585
2,1562.5,8.736111680418661e-05,-3.312039736601821e-06,11430.31105043997,433.34661672916974
3,781.25,8.986007669187148e-05,7.927415946531962e-06,11042.472354899943,-974.1619933793206
4,390.625,8.325247721140449e-05,-9.197936127462427e-07,12010.188581915334,132.69148397196642
5,195.3125,7.974791196028323e-05,6.980749856804723e-07,12538.552510903155,-109.7564769954321
6,97.65625,8.222934097016256e-05,1.050195932603086e-06,12159.12595650061,-155.29085449145248
7,48.828125,8.279085993083102e-05,-3.001834560949881e-07,12078.469224156468,43.79416567328127
8,24.4140625,8.107598976120142e-05,4.270112314510716e-07,12333.7656993814,-64.95950891545175
9,12.20703125,8.085411991693923e-05,1.0863154101900553e-07,12367.931231016277,-16.616932201137054
10,6.103515625,8.027480503080383e-05,-2.7073159509668495e-06,12443.055772957458,419.64951967147164
11,3.0517578125,8.411112856323904e-05,-6.361316113457469e-06,11821.416100502798,894.0524994558239
12,1.52587890625,8.737548504676211e-05,-9.769302550977179e-06,11303.551060489044,1263.8305830432532
